ts,city,event_date,ticker,action,price_c,fill_vwap_c,filled_qty,qty,fee_c,p_model,ev_c,pnl_taker_c,pnl_maker_c,clv_c,phase_label,note
2026-08-04T03:40:44+00:00,den,2026-08-03,KXHIGHDEN-26AUG03-B101.5,SELL,99,99.0,100,100,1,53.7,,5200,5500,,training,edge_gone
2026-08-04T03:40:44+00:00,lax,2026-08-04,KXHIGHLAX-26AUG04-B75.5,OPEN,18,18.66,100,100,2,26.7,6.7,,,,training,d1
2026-08-04T03:40:44+00:00,sea,2026-08-04,KXHIGHTSEA-26AUG04-T84,OPEN,28,29.98,100,100,2,57.3,27.3,,,,training,d1
2026-08-04T03:40:44+00:00,sea,2026-08-03,KXHIGHTSEA-26AUG03-B75.5,SELL,99,99.0,100,100,1,63.8,,7000,7300,,training,edge_gone
2026-08-04T06:03:26+00:00,den,2026-08-04,KXHIGHDEN-26AUG04-T75,SELL,18,17.53,100,100,2,3.4,,-500,-100,,training,edge_gone
2026-08-04T07:20:46+00:00,lax,2026-08-04,KXHIGHLAX-26AUG04-B75.5,SELL,20,19.99,100,100,2,2.8,,-300,100,,training,edge_gone
2026-08-04T15:15:20+00:00,lax,2026-08-03,KXHIGHLAX-26AUG03-B76.5,SETTLE,0,24,100,100,0,35.8,,,,-23.5,training,hold_would_be -2600
2026-08-04T15:15:20+00:00,lv,2026-08-03,KXHIGHTLV-26AUG03-B114.5,SETTLE,0,35,100,100,0,52.5,,-3700,-3500,-34.5,training,held
2026-08-04T15:15:20+00:00,den,2026-08-03,KXHIGHDEN-26AUG03-B101.5,SETTLE,100,44,100,100,0,61.3,,,,55.5,training,hold_would_be 5400
2026-08-04T15:15:20+00:00,sea,2026-08-03,KXHIGHTSEA-26AUG03-B75.5,SETTLE,100,26,100,100,0,66.8,,,,73.5,training,hold_would_be 7200
2026-08-05T03:35:43+00:00,den,2026-08-05,KXHIGHDEN-26AUG05-B83.5,OPEN,18,19.89,100,100,2,28.8,8.8,,,,training,d1
2026-08-05T03:35:43+00:00,lv,2026-08-05,KXHIGHTLV-26AUG05-B110.5,OPEN,31,32.58,100,100,2,50.9,17.9,,,,training,d1
2026-08-05T04:47:52+00:00,lax,2026-08-05,KXHIGHLAX-26AUG05-B75.5,OPEN,25,25.0,100,100,2,35.8,8.8,,,,training,d1
2026-08-05T06:00:13+00:00,den,2026-08-05,KXHIGHDEN-26AUG05-B83.5,SELL,18,18.0,100,100,2,7.1,,-600,-200,,training,edge_gone
2026-08-05T07:21:16+00:00,lv,2026-08-05,KXHIGHTLV-26AUG05-B110.5,SELL,24,22.2,100,100,2,1.0,,-1500,-1100,,training,edge_gone
2026-08-05T07:21:16+00:00,sea,2026-08-04,KXHIGHTSEA-26AUG04-T84,SELL,99,99.0,100,100,1,0.0,,6600,6900,,training,edge_gone
2026-08-05T15:07:40+00:00,lax,2026-08-05,KXHIGHLAX-26AUG05-B75.5,SELL,22,21.3,100,100,2,2.8,,-800,-400,,training,edge_gone
2026-08-05T15:07:40+00:00,sea,2026-08-05,KXHIGHTSEA-26AUG05-T88,OPEN,77,77.92,100,100,2,97.6,18.6,,,,training,d0
2026-08-05T15:07:40+00:00,den,2026-08-04,KXHIGHDEN-26AUG04-T75,SETTLE,100,19,100,100,0,51.2,,,,80.5,training,hold_would_be 7900
2026-08-05T15:07:40+00:00,lax,2026-08-04,KXHIGHLAX-26AUG04-B75.5,SETTLE,0,19,100,100,0,26.7,,,,-18.5,training,hold_would_be -2100
2026-08-05T15:07:40+00:00,sea,2026-08-04,KXHIGHTSEA-26AUG04-T84,SETTLE,100,30,100,100,0,57.3,,,,69.5,training,hold_would_be 6800
2026-08-06T03:41:54+00:00,lax,2026-08-06,KXHIGHLAX-26AUG06-B76.5,OPEN,19,19.6,100,100,2,35.8,14.8,,,,training,d1
2026-08-06T03:41:54+00:00,lv,2026-08-06,KXHIGHTLV-26AUG06-B109.5,OPEN,41,42.25,100,100,2,50.9,7.9,,,,training,d1
2026-08-06T03:41:54+00:00,sea,2026-08-05,KXHIGHTSEA-26AUG05-T88,SELL,99,99.0,100,100,1,72.9,,1800,2100,,training,edge_gone
2026-08-06T04:48:13+00:00,lv,2026-08-06,KXHIGHTLV-26AUG06-B109.5,SELL,36,33.6,100,100,2,25.5,,-1200,-800,,training,edge_gone
2026-08-06T15:06:55+00:00,sea,2026-08-06,KXHIGHTSEA-26AUG06-B87.5,OPEN,56,56.53,100,100,2,63.8,5.8,,,,training,d0
2026-08-06T15:06:55+00:00,den,2026-08-05,KXHIGHDEN-26AUG05-B83.5,SETTLE,100,20,100,100,0,28.8,,,,79.5,training,hold_would_be 7800
2026-08-06T15:06:55+00:00,lv,2026-08-05,KXHIGHTLV-26AUG05-B110.5,SETTLE,0,33,100,100,0,50.9,,,,-32.5,training,hold_would_be -3500
2026-08-06T15:06:55+00:00,lax,2026-08-05,KXHIGHLAX-26AUG05-B75.5,SETTLE,0,25,100,100,0,35.8,,,,-24.5,training,hold_would_be -2700
2026-08-06T15:06:55+00:00,sea,2026-08-05,KXHIGHTSEA-26AUG05-T88,SETTLE,100,78,100,100,0,97.6,,,,21.5,training,hold_would_be 2000
2026-08-07T14:04:55+00:00,lax,2026-08-06,KXHIGHLAX-26AUG06-B76.5,SETTLE,0,20,100,100,0,35.8,,-2200,-2000,-19.5,training,held
2026-08-07T14:04:55+00:00,lv,2026-08-06,KXHIGHTLV-26AUG06-B109.5,SETTLE,0,42,100,100,0,50.9,,,,-41.5,training,hold_would_be -4400
2026-08-07T14:04:55+00:00,sea,2026-08-06,KXHIGHTSEA-26AUG06-B87.5,SETTLE,100,57,100,100,0,63.8,,4100,4300,42.5,training,held
2026-08-08T02:23:10+00:00,nola,2026-08-08,KXHIGHTNOLA-26AUG08-B94.5,OPEN,14,14.99,100,100,1,35.8,9.6,,,,training,d1
2026-08-09T02:30:44+00:00,chi,2026-08-09,KXHIGHCHI-26AUG09-B87.5,OPEN,13,14.92,100,100,1,28.8,6.6,,,,training,d1
2026-08-09T05:31:49+00:00,chi,2026-08-09,KXHIGHCHI-26AUG09-B87.5,SELL,13,12.97,100,100,1,1.3,,-400,-200,,training,edge_gone
2026-08-09T13:41:07+00:00,nola,2026-08-08,KXHIGHTNOLA-26AUG08-B94.5,SETTLE,0,15,100,100,0,35.8,,-1600,-1500,-14.5,training,held
2026-08-10T02:36:16+00:00,chi,2026-08-10,KXHIGHCHI-26AUG10-T82,OPEN,20,21.23,100,100,2,73.3,24.4,,,,training,d1
2026-08-10T02:36:16+00:00,aus,2026-08-10,KXHIGHAUS-26AUG10-B100.5,OPEN,12,14.07,100,100,1,33.0,9.2,,,,training,d1
2026-08-10T02:36:16+00:00,dal,2026-08-10,KXHIGHTDAL-26AUG10-B97.5,OPEN,13,13.16,100,100,1,25.7,5.1,,,,training,d1
2026-08-10T02:36:16+00:00,nola,2026-08-10,KXHIGHTNOLA-26AUG10-B93.5,OPEN,17,18.81,100,100,2,35.8,7.4,,,,training,d1
2026-08-10T14:12:57+00:00,chi,2026-08-09,KXHIGHCHI-26AUG09-B87.5,SETTLE,0,15,100,100,0,28.8,,,,-14.5,training,hold_would_be -1600
2026-08-11T02:29:23+00:00,chi,2026-08-11,KXHIGHCHI-26AUG11-T80,OPEN,35,35.0,100,100,2,94.1,27.3,,,,training,d1
2026-08-11T02:29:23+00:00,nola,2026-08-11,KXHIGHTNOLA-26AUG11-B95.5,OPEN,11,11.0,100,100,1,30.3,8.1,,,,training,d1
2026-08-11T05:39:23+00:00,chi,2026-08-11,KXHIGHCHI-26AUG11-T80,SELL,48,48.0,100,100,2,37.5,,900,1300,,training,edge_gone
2026-08-11T14:11:46+00:00,chi,2026-08-10,KXHIGHCHI-26AUG10-T82,SETTLE,0,21,100,100,0,73.3,,-2300,-2100,-20.5,training,held
2026-08-11T14:11:46+00:00,aus,2026-08-10,KXHIGHAUS-26AUG10-B100.5,SETTLE,0,14,100,100,0,33.0,,-1500,-1400,-13.5,training,held
2026-08-11T14:11:46+00:00,dal,2026-08-10,KXHIGHTDAL-26AUG10-B97.5,SETTLE,0,13,100,100,0,25.7,,-1400,-1300,-12.5,training,held
2026-08-11T14:11:46+00:00,nola,2026-08-10,KXHIGHTNOLA-26AUG10-B93.5,SETTLE,100,19,100,100,0,35.8,,7900,8100,80.5,training,held
2026-08-11T14:44:17+00:00,nola,2026-08-11,KXHIGHTNOLA-26AUG11-B95.5,SELL,41,41.11,100,100,2,28.5,,2700,3000,,training,edge_gone
2026-08-12T02:46:55+00:00,chi,2026-08-12,KXHIGHCHI-26AUG12-T80,OPEN,11,11.0,100,100,1,96.5,41.5,,,,training,d1
2026-08-12T14:13:35+00:00,chi,2026-08-12,KXHIGHCHI-26AUG12-T80,SELL,25,23.92,100,100,2,9.8,,1000,1300,,training,edge_gone
2026-08-12T14:13:35+00:00,chi,2026-08-11,KXHIGHCHI-26AUG11-T80,SETTLE,0,35,100,100,0,94.1,,,,-34.5,training,hold_would_be -3700
2026-08-12T14:13:35+00:00,nola,2026-08-11,KXHIGHTNOLA-26AUG11-B95.5,SETTLE,0,11,100,100,0,30.3,,,,-10.5,training,hold_would_be -1200
2026-08-13T02:49:13+00:00,chi,2026-08-13,KXHIGHCHI-26AUG13-B76.5,OPEN,12,13.3,100,100,1,29.3,7.1,,,,training,d1
2026-08-13T02:49:13+00:00,aus,2026-08-13,KXHIGHAUS-26AUG13-B99.5,OPEN,11,11.85,100,100,1,23.7,5.1,,,,training,d1
2026-08-13T02:49:13+00:00,okc,2026-08-13,KXHIGHTOKC-26AUG13-B101.5,OPEN,10,10.67,100,100,1,28.5,7.8,,,,training,d1
2026-08-13T14:15:21+00:00,chi,2026-08-12,KXHIGHCHI-26AUG12-T80,SETTLE,0,11,100,100,0,96.5,,,,-10.5,training,hold_would_be -1200
2026-08-13T18:24:30+00:00,chi,2026-08-13,KXHIGHCHI-26AUG13-B76.5,SELL,72,71.89,100,100,2,9.1,,5600,5900,,training,edge_gone
2026-08-14T02:47:53+00:00,sat,2026-08-14,KXHIGHTSATX-26AUG14-B100.5,OPEN,11,13.5,100,100,1,25.0,5.8,,,,training,d1
2026-08-14T02:47:53+00:00,okc,2026-08-14,KXHIGHTOKC-26AUG14-B100.5,OPEN,13,13.82,100,100,1,28.5,6.0,,,,training,d1
2026-08-14T14:08:23+00:00,chi,2026-08-13,KXHIGHCHI-26AUG13-B76.5,SETTLE,100,13,100,100,0,29.3,,,,86.5,training,hold_would_be 8600
2026-08-14T14:08:23+00:00,aus,2026-08-13,KXHIGHAUS-26AUG13-B99.5,SETTLE,0,12,100,100,0,23.7,,-1300,-1200,-11.5,training,held
2026-08-14T14:08:23+00:00,okc,2026-08-13,KXHIGHTOKC-26AUG13-B101.5,SETTLE,0,11,100,100,0,28.5,,-1200,-1100,-10.5,training,held
2026-08-15T01:51:09+00:00,chi,2026-08-15,KXHIGHCHI-26AUG15-T81,OPEN,39,39.25,81,100,2,82.0,19.2,,,,training,d1
2026-08-15T01:51:09+00:00,phl,2026-08-15,KXHIGHPHIL-26AUG15-B91.5,OPEN,13,16.51,35,100,1,30.8,7.4,,,,training,d1
2026-08-15T01:51:09+00:00,dc,2026-08-15,KXHIGHTDC-26AUG15-B85.5,OPEN,12,12.59,100,100,1,32.5,9.0,,,,training,d1
